,2,4,8,16,32
VGG,1.5205,2.7902,2.9719,3.709,3.1101
Inception V3,1.1974,1.2129,1.5836,3.6655,5.226
Inception V4,2.011,1.366,1.7453,2.3555,
ResNet,0.7501,1.237,1.162,1.8044,1.6041
DenseNet,2.6852,3.3532,3.76,4.1248,
