,2,4,8,16,32
VGG,0.1529,0.2132,0.3322,0.3264,0.36
Inception V3,0.2968,0.4316,0.5308,0.5895,0.6231
Inception V4,0.5023,0.6118,0.6202,0.6472,
ResNet,0.2574,0.4839,0.6292,0.6709,0.7069
DenseNet,0.3855,0.6182,0.7385,0.7597,
